k = 0
19259
9669
9880
23743
14197
4785
14307
19372
4104
9562
29250
12273
15231
16434
27946
14245
19935
17444
26507
19174
8995
27275
11164
8331
6094
4661
9510
26521
13780
4734
10056
9485
12712
16527
21848
5362
6616
17366
6085
11438
2405
11278
8249
7733
7506
14517
8019
11679
9520
12212
8883
5451
6574
7211
11013
3277
17933
9949
4393
15634
21254
5259
11474
19272
9648
14101
9990
14724
11268
7657
5605
1508
9931
12467
24291
16875
8087
10347
2954
20862
16239
11456
6715
21114
15487
9358
21364
10547
13077
6735
10205
12855
5668
17207
15230
16287
5012
3894
6581
21880
12166
9748
23398
3508
15438
10278
23419
4303
17951
9325
9948
15498
15421
10255
16510
14202
29100
13385
4879
6405
8113
1772
7590
12197
9979
13999
2809
5758
21106
11181
4266
14419
17645
5194
6343
16655
26497
14338
4370
15773
16393
2886
13697
29288
5318
17520
7922
16633
5349
3952
5243
6624
9122
11837
10865
20286
5066
15065
22635
27668
14311
22328
25233
14838
17752
7184
18043
14369
13531
24494
8390
18018
14950
5018
14513
17838
3435
2849
22944
14025
7508
13045
5481
5687
22495
7882
6055
14050
22081
1686
8560
25201
10136
14525
9021
5620
8457
21736
25273
6049
11171
2255
31150
18758
7594
9068
28359
18586
6353
12058
7377
18325
19292
8220
14135
5869
17584
18486
5046
6693
12243
865
16824
10928
4654
17720
7882
4994
10076
14785
15264
16197
16034
20922
14156
14262
9884
4499
3130
23347
10879
10195
2157
16382
3344
12947
11840
27787
22711
561
9261
4688
13500
11466
11714
6820
8810
15387
8472
6186
15637
21834
24752
1539
37814
15610
17705
3691
8707
6114
21806
2877
9541
9163
13299
5029
15701
13110
7972
11751
14991
32287
1747
7250
19201
9203
11933
14209
8831
23055
10733
6518
14769
2104
9810
22257
6243
22836
15972
12092
12520
9808
15766
8474
14089
12198
4972
22186
9686
14158
9067
14967
14400
24479
10172
17456
25179
22272
7027
9574
18607
11958
2816
14706
7303
17893
10583
5574
9616
25183
4928
7503
11567
14385
9288
33693
9770
15593
11135
7580
7834
18229
21631
12153
25433
10784
6534
23926
14169
7108
8857
16783
2176
12644
5157
19962
18789
18348
9662
6299
8092
9493
7797
6620
13839
7933
12345
17233
8075
12450
13678
7678
12900
26297
12880
9387
25370
5415
5194
16507
13988
21628
11091
6106
23290
13010
10519
3748
14199
24262
14842
9955
10874
11837
2405
10996
10970
8385
6877
15218
1406
19631
12835
7804
8357
12086
35505
22910
23183
12725
4498
5737
8947
7415
19127
12184
1287
18107
11181
7693
12200
21832
35034
6203
15487
9018
20018
22032
12828
8931
12556
6182
16877
15930
5481
7202
7634
15102
9248
10366
21815
13582
8514
16282
15309
14368
13670
2198
5773
3127
19344
11633
14304
12745
2261
22516
3917
8657
11771
10073
11920
2439
12955
17386
23648
5447
5023
17239
15702
17248
2911
23861
13012
16876
24202
12816
19713
5151
11431
8212
6076
12185
2235
21304
4750
24086
6563
13490
13733
9443
3902
10051
6340
7989
13534
18121
14284
24822
24936
2429
11195
5956
10755
19257
6598
7834
5750
11226
21625
13246
10152
549
3137
9546
10659
11109
7728
11394
12054
11804
6657
2266
3163
4546
10361
7200
1065
13291
13987
23282
9003
11296
3700
17186
10443
4962
10810
21619
2617
17599
20122
29247
15687
3600
8837
18696
2024
18448
14397
20235
10792
17274
17461
10782
12042
12549
7974
10210
27846
8015
8834
8495
5765
8111
9234
5803
10693
14890
1720
1880
6270
14201
14269
8000
5014
7238
11010
11934
13698
13395
14418
12724
12966
9709
3243
5923
8508
18450
12931
10716
18750
4623
28223
5748
9769
5321
12065
17220
13104
19975
5017
13352
12156
17976
20139
6977
20495
22915
14716
8751
10144
8242
10871
15427
7607
13599
12647
22940
10397
2505
14334
3904
12825
19827
16451
7354
22816
5151
19568
12857
7959
21010
13664
8688
2246
2028
20533
16199
15088
17811
23043
4840
11195
21033
14870
26547
8384
23569
4128
6668
3427
21974
19813
16914
17803
9725
15067
8720
